timestamp,hp_electric_kWh,pv_generation_kWh,net_load_kWh,self_consumption_kWh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh
2009-01-01 00:00:00,2.232340298062432,0.0,2.232340298062432,0.0,2.232340298062432,0.0,0.0,0.0,0.0
2009-01-01 01:00:00,2.304300185001885,0.0,2.304300185001885,0.0,2.304300185001885,0.0,0.0,0.0,0.0
2009-01-01 02:00:00,2.3816172983419412,0.0,2.3816172983419412,0.0,2.3816172983419412,0.0,0.0,0.0,0.0
2009-01-01 03:00:00,2.4589344116819922,0.0,2.4589344116819922,0.0,2.4589344116819922,0.0,0.0,0.0,0.0
2009-01-01 04:00:00,2.53625152502205,0.0,2.53625152502205,0.0,2.53625152502205,0.0,0.0,0.0,0.0
2009-01-01 05:00:00,2.6135686383621004,0.0,2.6135686383621004,0.0,2.6135686383621004,0.0,0.0,0.0,0.0
2009-01-01 06:00:00,2.552767178055476,0.0,2.552767178055476,0.0,2.552767178055476,0.0,0.0,0.0,0.0
2009-01-01 07:00:00,2.6014397400477067,0.0,2.6014397400477067,0.0,2.6014397400477067,0.0,0.0,0.0,0.0
2009-01-01 08:00:00,2.675606156537809,0.010402807096510418,2.6652033494412986,0.010402807096510418,2.6652033494412986,0.0,0.0,0.0,0.0
2009-01-01 09:00:00,1.950074255970368,0.7153870879056498,1.2346871680647182,0.7153870879056498,1.2346871680647182,0.0,0.0,0.0,0.0
2009-01-01 10:00:00,1.9790210198429423,1.1796524552322123,0.79936856461073,1.1796524552322123,0.79936856461073,0.0,0.0,0.0,0.0
2009-01-01 11:00:00,1.7934178673094838,1.431117830873061,0.36230003643642283,1.431117830873061,0.36230003643642283,0.0,0.0,0.0,0.0
2009-01-01 12:00:00,1.6956054554418925,1.5116211459254147,0.1839843095164777,1.5116211459254147,0.1839843095164777,0.0,0.0,0.0,0.0
2009-01-01 13:00:00,1.5600258380553995,1.431117830873061,0.12890800718233852,1.431117830873061,0.12890800718233852,0.0,0.0,0.0,0.0
2009-01-01 14:00:00,1.6870154460535784,1.1796524552322123,0.5073629908213662,1.1796524552322123,0.5073629908213662,0.0,0.0,0.0,0.0
2009-01-01 15:00:00,1.6604090753428087,0.7153870879056498,0.9450219874371589,0.7153870879056498,0.9450219874371589,0.0,0.0,0.0,0.0
2009-01-01 16:00:00,1.9552727442432305,0.010402807096510418,1.9448699371467202,0.010402807096510418,1.9448699371467202,0.0,0.0,0.0,0.0
2009-01-01 17:00:00,1.9405491951493385,0.0,1.9405491951493385,0.0,1.9405491951493385,0.0,0.0,0.0,0.0
2009-01-01 18:00:00,1.9515953007144273,0.0,1.9515953007144273,0.0,1.9515953007144273,0.0,0.0,0.0,0.0
2009-01-01 19:00:00,1.9385795123275864,0.0,1.9385795123275864,0.0,1.9385795123275864,0.0,0.0,0.0,0.0
2009-01-01 20:00:00,1.936732406166655,0.0,1.936732406166655,0.0,1.936732406166655,0.0,0.0,0.0,0.0
2009-01-01 21:00:00,1.9416215707063011,0.0,1.9416215707063011,0.0,1.9416215707063011,0.0,0.0,0.0,0.0
2009-01-01 22:00:00,2.0814843322038046,0.0,2.0814843322038046,0.0,2.0814843322038046,0.0,0.0,0.0,0.0
2009-01-01 23:00:00,2.0968822200390482,0.0,2.0968822200390482,0.0,2.0968822200390482,0.0,0.0,0.0,0.0
2009-01-02 00:00:00,2.1663840528198097,0.0,2.1663840528198097,0.0,2.1663840528198097,0.0,0.0,0.0,0.0
2009-01-02 01:00:00,2.1918529921280747,0.0,2.1918529921280747,0.0,2.1918529921280747,0.0,0.0,0.0,0.0
2009-01-02 02:00:00,2.2412763519670915,0.0,2.2412763519670915,0.0,2.2412763519670915,0.0,0.0,0.0,0.0
2009-01-02 03:00:00,2.2466333344802205,0.0,2.2466333344802205,0.0,2.2466333344802205,0.0,0.0,0.0,0.0
2009-01-02 04:00:00,2.236936561908351,0.0,2.236936561908351,0.0,2.236936561908351,0.0,0.0,0.0,0.0
2009-01-02 05:00:00,2.240647636886213,0.0,2.240647636886213,0.0,2.240647636886213,0.0,0.0,0.0,0.0
2009-01-02 06:00:00,1.973552915660349,0.0,1.973552915660349,0.0,1.973552915660349,0.0,0.0,0.0,0.0
2009-01-02 07:00:00,1.9661869286070541,0.0,1.9661869286070541,0.0,1.9661869286070541,0.0,0.0,0.0,0.0
2009-01-02 08:00:00,1.9321571417139929,0.012711700084117697,1.9194454416298752,0.012711700084117697,1.9194454416298752,0.0,0.0,0.0,0.0
2009-01-02 09:00:00,1.7492710835212484,0.7212717960298748,1.0279992874913737,0.7212717960298748,1.0279992874913737,0.0,0.0,0.0,0.0
2009-01-02 10:00:00,1.7384361041309955,1.1846548462295214,0.553781257901474,1.1846548462295214,0.553781257901474,0.0,0.0,0.0,0.0
2009-01-02 11:00:00,1.3736674681392915,1.43577011547508,-0.06210264733578841,1.3736674681392915,0.0,0.06210264733578841,0.0,0.0,0.0
2009-01-02 12:00:00,1.7357429485589482,1.5161745201518286,0.21956842840711954,1.5161745201518286,0.21956842840711954,0.0,0.0,0.0,0.0
2009-01-02 13:00:00,1.4489745434340249,1.43577011547508,0.013204427958944942,1.43577011547508,0.013204427958944942,0.0,0.0,0.0,0.0
2009-01-02 14:00:00,1.7253815163636401,1.1846548462295214,0.5407266701341187,1.1846548462295214,0.5407266701341187,0.0,0.0,0.0,0.0
2009-01-02 15:00:00,1.5662905148205606,0.7212717960298748,0.8450187187906858,0.7212717960298748,0.8450187187906858,0.0,0.0,0.0,0.0
2009-01-02 16:00:00,1.936208665075888,0.012711700084117697,1.9234969649917704,0.012711700084117697,1.9234969649917704,0.0,0.0,0.0,0.0
2009-01-02 17:00:00,1.9314064948976435,0.0,1.9314064948976435,0.0,1.9314064948976435,0.0,0.0,0.0,0.0
2009-01-02 18:00:00,1.9555913438110177,0.0,1.9555913438110177,0.0,1.9555913438110177,0.0,0.0,0.0,0.0
2009-01-02 19:00:00,2.1343056446594963,0.0,2.1343056446594963,0.0,2.1343056446594963,0.0,0.0,0.0,0.0
2009-01-02 20:00:00,2.211873358482504,0.0,2.211873358482504,0.0,2.211873358482504,0.0,0.0,0.0,0.0
2009-01-02 21:00:00,2.2438842410169437,0.0,2.2438842410169437,0.0,2.2438842410169437,0.0,0.0,0.0,0.0
2009-01-02 22:00:00,2.4301481857632306,0.0,2.4301481857632306,0.0,2.4301481857632306,0.0,0.0,0.0,0.0
2009-01-02 23:00:00,2.43809349066915,0.0,2.43809349066915,0.0,2.43809349066915,0.0,0.0,0.0,0.0
2009-01-03 00:00:00,2.4175327366960233,0.0,2.4175327366960233,0.0,2.4175327366960233,0.0,0.0,0.0,0.0
2009-01-03 01:00:00,2.3484879446619473,0.0,2.3484879446619473,0.0,2.3484879446619473,0.0,0.0,0.0,0.0
2009-01-03 02:00:00,2.428336747853025,0.0,2.428336747853025,0.0,2.428336747853025,0.0,0.0,0.0,0.0
2009-01-03 03:00:00,2.4544560602013545,0.0,2.4544560602013545,0.0,2.4544560602013545,0.0,0.0,0.0,0.0
2009-01-03 04:00:00,2.482157188056344,0.0,2.482157188056344,0.0,2.482157188056344,0.0,0.0,0.0,0.0
2009-01-03 05:00:00,2.5198626443005936,0.0,2.5198626443005936,0.0,2.5198626443005936,0.0,0.0,0.0,0.0
2009-01-03 06:00:00,2.4870461306878497,0.0,2.4870461306878497,0.0,2.4870461306878497,0.0,0.0,0.0,0.0
2009-01-03 07:00:00,2.5553528442785667,0.0,2.5553528442785667,0.0,2.5553528442785667,0.0,0.0,0.0,0.0
2009-01-03 08:00:00,2.539498039238844,0.015512064429953015,2.523985974808891,0.015512064429953015,2.523985974808891,0.0,0.0,0.0,0.0
2009-01-03 09:00:00,2.357867324785799,0.727624774012557,1.6302425507732419,0.727624774012557,1.6302425507732419,0.0,0.0,0.0,0.0
2009-01-03 10:00:00,2.5943219210088073,1.1900181071138058,1.4043038138950015,1.1900181071138058,1.4043038138950015,0.0,0.0,0.0,0.0
2009-01-03 11:00:00,1.7661287057434862,1.4407354760125444,0.32539322973094187,1.4407354760125444,0.32539322973094187,0.0,0.0,0.0,0.0
2009-01-03 12:00:00,2.414796464522847,1.521026662269791,0.8937698022530558,1.521026662269791,0.8937698022530558,0.0,0.0,0.0,0.0
2009-01-03 13:00:00,1.228627368264626,1.4407354760125444,-0.21210810774791833,1.228627368264626,0.0,0.21210810774791833,0.0,0.0,0.0
2009-01-03 14:00:00,2.3431178984959016,1.1900181071138058,1.1530997913820957,1.1900181071138058,1.1530997913820957,0.0,0.0,0.0,0.0
2009-01-03 15:00:00,1.7460977684935917,0.727624774012557,1.0184729944810347,0.727624774012557,1.0184729944810347,0.0,0.0,0.0,0.0
2009-01-03 16:00:00,2.268145026892868,0.015512064429953015,2.252632962462915,0.015512064429953015,2.252632962462915,0.0,0.0,0.0,0.0
2009-01-03 17:00:00,2.2350521307828592,0.0,2.2350521307828592,0.0,2.2350521307828592,0.0,0.0,0.0,0.0
2009-01-03 18:00:00,2.277198326394732,0.0,2.277198326394732,0.0,2.277198326394732,0.0,0.0,0.0,0.0
2009-01-03 19:00:00,2.2993221514449536,0.0,2.2993221514449536,0.0,2.2993221514449536,0.0,0.0,0.0,0.0
2009-01-03 20:00:00,2.338513120461809,0.0,2.338513120461809,0.0,2.338513120461809,0.0,0.0,0.0,0.0
2009-01-03 21:00:00,2.3634519188308394,0.0,2.3634519188308394,0.0,2.3634519188308394,0.0,0.0,0.0,0.0
2009-01-03 22:00:00,2.540023228007957,0.0,2.540023228007957,0.0,2.540023228007957,0.0,0.0,0.0,0.0
2009-01-03 23:00:00,2.5859647154480174,0.0,2.5859647154480174,0.0,2.5859647154480174,0.0,0.0,0.0,0.0
2009-01-04 00:00:00,2.6419437705077105,0.0,2.6419437705077105,0.0,2.6419437705077105,0.0,0.0,0.0,0.0
2009-01-04 01:00:00,2.7175188489600233,0.0,2.7175188489600233,0.0,2.7175188489600233,0.0,0.0,0.0,0.0
2009-01-04 02:00:00,2.7322278135309728,0.0,2.7322278135309728,0.0,2.7322278135309728,0.0,0.0,0.0,0.0
2009-01-04 03:00:00,2.7520066099668026,0.0,2.7520066099668026,0.0,2.7520066099668026,0.0,0.0,0.0,0.0
2009-01-04 04:00:00,2.775719540000137,0.0,2.775719540000137,0.0,2.775719540000137,0.0,0.0,0.0,0.0
2009-01-04 05:00:00,2.7882756138493376,0.0,2.7882756138493376,0.0,2.7882756138493376,0.0,0.0,0.0,0.0
2009-01-04 06:00:00,2.711011678682108,0.0,2.711011678682108,0.0,2.711011678682108,0.0,0.0,0.0,0.0
2009-01-04 07:00:00,2.770896687529397,0.0,2.770896687529397,0.0,2.770896687529397,0.0,0.0,0.0,0.0
2009-01-04 08:00:00,2.6698323320595927,0.01886734602861635,2.6509649860309765,0.01886734602861635,2.6509649860309765,0.0,0.0,0.0,0.0
2009-01-04 09:00:00,2.369448791026547,0.7344374008580145,1.6350113901685326,0.7344374008580145,1.6350113901685326,0.0,0.0,0.0,0.0
2009-01-04 10:00:00,2.609432300791056,1.195735734089724,1.4136965667013321,1.195735734089724,1.4136965667013321,0.0,0.0,0.0,0.0
