timestamp,Q_h(kWh),T_op(°C),T_ext(°C),ΦH_em_eff(kW),θH_em_flow(°C),θH_em_ret(°C),V_H_em_eff(m3/h),θH_em_flw_min_req(°C),θH_nod_out(°C),θH_cr_flw(°C),θH_cr_ret(°C),V_H_cr(m3/h),θH_dis_flw(°C),θH_dis_ret(°C),βH_em(-),Q_w_dis_i_ls(kWh),Q_w_dis_i_aux(kWh),Q_w_dis_i_ls_rbl_H(kWh),QH_dis_i_req(kWh),QH_dis_i_in(kWh),V_H_dis(m3/h),max_output_g1(kWh),QH_gen_out(kWh),θX_gen_cr_flw(°C),θX_gen_cr_ret(°C),V_H_gen(m3/h),efficiency_gen(%),EHW_gen_in(kWh),EHW_gen_aux(kWh),QW_gen_i_ls_rbl_H(kWh),QW_gen_out(kWh),QHW_gen_out(kWh),EH_gen_in(kWh),EWH_gen_in(kWh)
2009-04-17 07:00:00,4.216131406232653,19.999999999999996,12.9,4.684590451369614,30.685440290811414,27.757571258705404,1.3793103448275863,32.685440290811414,30.026923076923076,30.026923076923076,27.757571258705404,1.7795566169444383,30.685440290811414,27.757571258705404,0.5855738064212017,0.4426322771884038,0.024,0.3983690494695635,4.684590451369614,4.704853679088454,1.3852765610640598,27.0,4.704853679088454,37.38636363636363,27.757571258705408,1.1637931034482758,106.1212143706473,4.43347139117341,0.0,0.0,0.0,4.704853679088454,4.43347139117341,0.0
2009-04-17 08:00:00,4.078254484796387,20.0,13.5,4.531393871995986,30.363004959952946,27.530883789955453,1.3793103448275863,32.363004959952946,29.634615384615383,29.634615384615383,27.530883789955453,1.8568785283724445,30.363004959952946,27.530883789955453,0.5664242339994983,0.42945332999780156,0.024,0.3865079969980214,4.531393871995986,4.550339204995765,1.385077112080879,27.0,4.550339204995765,36.70454545454545,27.530883789955453,1.163793103448276,106.23455810502227,4.283294707638688,0.0,0.0,0.0,4.550339204995765,4.283294707638688,0.0
2009-04-17 09:00:00,3.9235677155027524,19.999999999999996,14.0,4.359519683891947,30.000250836391956,27.275551033959488,1.3793103448275863,32.000250836391956,29.307692307692307,29.307692307692307,27.275551033959488,1.8493825565293363,30.000250836391956,27.275551033959488,0.5449399604864934,0.4146192448884348,0.024,0.3731573203995914,4.359519683891947,4.376981608380791,1.3848351307752333,27.0,4.376981608380791,36.13636363636363,27.275551033959488,1.1637931034482758,106.36222448302026,4.115165538945207,0.0,0.0,0.0,4.376981608380791,4.115165538945207,0.0
2009-04-17 10:00:00,3.6445410345996727,20.0,14.8,4.04949003844408,29.343068263780488,26.812136989752936,1.3793103448275863,31.343068263780488,28.784615384615385,28.784615384615385,26.812136989752936,1.7698240433996255,29.343068263780488,26.812136989752936,0.50618625480551,0.3877249260848022,0.024,0.34895243347632193,4.04949003844408,4.06426253105256,1.384342052939058,27.0,4.06426253105256,35.22727272727273,26.81213698975294,1.163793103448276,106.59393150512354,3.812846072627697,0.0,0.0,0.0,4.06426253105256,3.812846072627697,0.0
2009-04-17 11:00:00,3.3645607343553054,20.0,15.6,3.7384008159503392,28.679701858724727,26.343201348755763,1.3793103448275863,30.679701858724727,28.26153846153846,28.26153846153846,26.343201348755763,1.6799754863837544,28.679701858724727,26.343201348755763,0.4673001019937924,0.3605496769795317,0.024,0.3244947092815786,3.7384008159503392,3.750455783648292,1.38375811339788,27.0,3.750455783648292,35.0,26.343201348755763,1.163793103448276,106.82839932562212,3.5107291762526383,0.0,0.0,0.0,3.750455783648292,3.5107291762526383,0.0
2009-04-17 12:00:00,3.035372123646995,19.999999999999996,16.4,3.3726356929411057,27.894208069972354,25.786310761884163,1.3793103448275863,29.894208069972354,28.0,28.0,25.786310761884163,1.31339327707755,27.894208069972354,25.786310761884163,0.4215794616176382,0.32833245196455657,0.024,0.29549920676810093,3.3726356929411057,3.3814689381375613,1.3829228863491538,27.0,3.3814689381375613,35.0,25.78631076188416,1.1637931034482758,107.10684461905792,3.1570988298313516,0.0,0.0,0.0,3.3814689381375613,3.1570988298313516,0.0
2009-04-17 13:00:00,2.681774181919306,20.0,17.2,2.9797490910214512,27.04302335902048,25.180680177132075,1.3793103448275863,29.04302335902048,28.0,28.0,25.180680177132075,0.9111237382727186,27.04302335902048,25.180680177132075,0.3724686363776814,0.29336888486766133,0.024,0.2640319963808952,2.9797490910214512,2.9850859795082174,1.3817807627299432,27.0,2.9850859795082174,35.0,25.180680177132082,1.163793103448276,107.40965991143396,2.7791596975259107,0.0,0.0,0.0,2.9850859795082174,2.7791596975259103,0.0
2009-04-17 14:00:00,2.3578791752288195,20.0,18.0,2.619865750254244,26.255641684581196,24.618225590672292,1.3793103448275863,28.255641684581196,28.0,28.0,24.618225590672292,0.6678461315711226,26.255641684581196,24.618225590672292,0.3274832187817805,0.26097281460608374,0.024,0.23487553314547538,2.619865750254244,2.621963031714852,1.3804145243124888,27.0,2.621963031714852,35.0,24.618225590672296,1.163793103448276,107.69088720466385,2.4347120724633613,0.0,0.0,0.0,2.621963031714852,2.4347120724633613,0.0
2009-04-17 15:00:00,2.075327864363124,20.0,18.8,2.30591984929236,25.561863580081393,24.120663674273672,1.3793103448275863,27.561863580081393,28.0,28.0,24.120663674273672,0.5124232013250233,25.561863580081393,24.120663674273672,0.288239981161545,0.23238065410452158,0.024,0.20914258869406943,2.30591984929236,2.305157914702812,1.3788545855947751,27.0,2.305157914702812,35.0,24.120663674273672,1.1637931034482758,107.93966816286317,2.1355984819452183,0.0,0.0,0.0,2.305157914702812,2.1355984819452183,0.0
2009-04-17 16:00:00,1.9367816440835168,19.999999999999996,18.1,2.151979604537241,25.219028211111503,23.874040958275724,1.3793103448275863,27.219028211111503,28.0,28.0,23.874040958275724,0.4496299679025257,25.219028211111503,23.874040958275724,0.2689974505671551,0.21823366006529363,0.024,0.19641029405876428,2.151979604537241,2.1498029705437705,1.3779152322634272,27.0,2.1498029705437705,35.0,23.874040958275728,1.1637931034482758,108.06297952086214,1.9893982010080884,0.0,0.0,0.0,2.1498029705437705,1.9893982010080886,0.0
2009-04-17 17:00:00,1.9048045194157694,20.0,17.3,2.1164494660175217,25.139632333776355,23.8168514175154,1.3793103448275863,27.139632333776355,28.0,28.0,23.8168514175154,0.43616079270499125,25.139632333776355,23.8168514175154,0.2645561832521902,0.21495561003100216,0.024,0.19346004902790195,2.1164494660175217,2.113945027020622,1.3776781779972966,27.0,2.113945027020622,35.0,23.816851417515398,1.163793103448276,108.0915742912423,1.955698250193675,0.0,0.0,0.0,2.113945027020622,1.955698250193675,0.0
2009-04-17 18:00:00,1.965823348026113,20.0,16.6,2.1842481644734586,25.29104693633426,23.92589183353835,1.3793103448275863,27.29104693633426,28.0,28.0,23.92589183353835,0.4621803051478439,25.29104693633426,23.92589183353835,0.2730310205591823,0.2212065304769427,0.024,0.1990858774292484,2.1842481644734586,2.182368817521153,1.3781235736836321,27.0,2.182368817521153,35.0,23.92589183353835,1.1637931034482758,108.03705408323083,2.020018813026755,0.0,0.0,0.0,2.182368817521153,2.020018813026755,0.0
2009-04-17 19:00:00,2.011314691839892,20.0,15.9,2.2347941020443245,25.403691519287175,24.00694520550947,1.3793103448275863,27.403691519287175,28.065384615384616,28.065384615384616,24.00694520550947,0.4747013433305518,25.403691519287175,24.00694520550947,0.27934926275554056,0.2258552813951195,0.024,0.20326975325560756,2.2347941020443245,2.2333796301838365,1.3784373356909245,27.0,2.2333796301838365,35.0,24.006945205509467,1.163793103448276,107.99652739724527,2.068010596274788,0.0,0.0,0.0,2.2333796301838365,2.068010596274788,0.0
2009-04-17 20:00:00,2.090538646245089,20.0,15.3,2.322820718050099,25.59939189555356,24.14762894677225,1.3793103448275863,27.59939189555356,28.45769230769231,28.45769230769231,24.14762894677225,0.46459448175351437,25.59939189555356,24.14762894677225,0.2903525897562624,0.23392850021581943,0.024,0.21053565019423748,2.322820718050099,2.322213568071681,1.3789498140989003,27.0,2.322213568071681,35.0,24.14762894677225,1.163793103448276,107.92618552661388,2.1516683432669255,0.0,0.0,0.0,2.322213568071681,2.1516683432669255,0.0
2009-04-17 21:00:00,2.211142003730815,20.0,14.6,2.4568244485897943,25.896205331530833,24.360690051162212,1.3793103448275863,27.896205331530833,28.915384615384614,28.915384615384614,24.360690051162212,0.4650042019260753,25.896205331530833,24.360690051162212,0.3071030560737243,0.2461654891846331,0.024,0.22154894026616978,2.4568244485897943,2.457440997508258,1.3796564877120803,27.0,2.457440997508258,35.45454545454545,24.360690051162212,1.1637931034482758,107.8196549744189,2.2792143028943155,0.0,0.0,0.0,2.457440997508258,2.2792143028943155,0.0
2009-04-17 22:00:00,2.2797862532560105,20.0,14.3,2.533095836951123,26.064575568700874,24.481390670606423,1.3793103448275863,28.064575568700874,29.111538461538462,29.111538461538462,24.481390670606423,0.47162712861848205,26.064575568700874,24.481390670606423,0.31663697961889037,0.25310318974337515,0.024,0.22779287076903765,2.533095836951123,2.5344061559254603,1.3800238340252566,27.0,2.5344061559254603,35.79545454545455,24.481390670606423,1.1637931034482756,107.75930466469678,2.3519139844225085,0.0,0.0,0.0,2.5344061559254603,2.3519139844225085,0.0
2009-04-17 23:00:00,0.0,19.24696358324662,14.1,0.0,19.24696358324662,19.24696358324662,1.3793103448275863,21.24696358324662,29.242307692307694,29.242307692307694,19.24696358324662,0.0,19.24696358324662,19.24696358324662,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.24696358324662,19.24696358324662,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-18 00:00:00,0.0,19.03751152133099,13.8,0.0,19.03751152133099,19.03751152133099,1.3793103448275863,21.03751152133099,29.43846153846154,29.43846153846154,19.03751152133099,0.0,19.03751152133099,19.03751152133099,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.03751152133099,19.03751152133099,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-18 01:00:00,0.0,18.945888216884597,13.5,0.0,18.945888216884597,18.945888216884597,1.3793103448275863,20.945888216884597,29.634615384615383,29.634615384615383,18.945888216884597,0.0,18.945888216884597,18.945888216884597,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,18.945888216884597,18.945888216884597,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-18 02:00:00,0.0,18.866099442832162,13.3,0.0,18.866099442832162,18.866099442832162,1.3793103448275863,20.866099442832162,29.765384615384615,29.765384615384615,18.866099442832162,0.0,18.866099442832162,18.866099442832162,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,18.866099442832162,18.866099442832162,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-18 03:00:00,0.0,18.79909793745275,13.0,0.0,18.79909793745275,18.79909793745275,1.3793103448275863,20.79909793745275,29.96153846153846,29.96153846153846,18.79909793745275,0.0,18.79909793745275,18.79909793745275,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,18.79909793745275,18.79909793745275,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-18 04:00:00,0.0,18.733821287224266,12.7,0.0,18.733821287224266,18.733821287224266,1.3793103448275863,20.733821287224266,30.157692307692308,30.157692307692308,18.733821287224266,0.0,18.733821287224266,18.733821287224266,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,18.733821287224266,18.733821287224266,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-18 05:00:00,3.417843754319454,20.0,12.3,3.7976041714660598,28.806266822528222,26.432764215361935,1.3793103448275863,30.806266822528222,30.41923076923077,30.41923076923077,26.432764215361935,0.8212276850441687,28.806266822528222,26.432764215361935,0.47470052143325747,0.36573674490936375,0.024,0.32916307041842735,3.7976041714660598,3.810177845956996,1.3838771713094384,27.0,3.810177845956996,38.06818181818182,26.432764215361935,1.163793103448276,106.78361789231903,3.5681295700237396,0.0,0.0,0.0,3.810177845956996,3.5681295700237396,0.0
2009-04-18 06:00:00,2.777348645944607,20.000000000000004,12.0,3.085942939938452,27.273908022393705,25.34519368493217,1.3793103448275863,29.273908022393705,30.615384615384617,30.615384615384617,25.34519368493217,0.5047816432050194,27.273908022393705,25.34519368493217,0.3857428674923065,0.3028584409758208,0.024,0.27257259687823876,3.085942939938452,3.0922287840360343,1.3821199009206537,27.0,3.0922287840360343,38.40909090909091,25.345193684932177,1.163793103448276,107.32740315753391,2.8811176764402817,0.0,0.0,0.0,3.0922287840360343,2.8811176764402817,0.0
