,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-03 00:00:00,0.0,18.576001204335505,9.8,0.0,0.0
2009-12-03 01:00:00,0.0,18.42089444791439,8.0,0.0,0.0
2009-12-03 02:00:00,0.0,18.323951977331422,8.0,0.0,0.0
2009-12-03 03:00:00,0.0,18.270258896994164,9.6,0.0,0.0
2009-12-03 04:00:00,0.0,18.148748520473966,7.0,0.0,0.0
2009-12-03 05:00:00,5873.76869335212,19.999999999999996,7.0,5873.76869335212,0.0
2009-12-03 06:00:00,4799.169232961412,20.0,8.8,4799.169232961412,0.0
2009-12-03 07:00:00,5027.212779440447,20.000000000000004,7.0,5027.212779440447,0.0
2009-12-03 08:00:00,5086.389072176549,20.0,7.0,5086.389072176549,0.0
2009-12-03 09:00:00,5057.497082489891,19.999999999999993,8.6,5057.497082489891,0.0
2009-12-03 10:00:00,5180.351515763298,19.999999999999996,7.0,5180.351515763298,0.0
2009-12-03 11:00:00,4680.785547517387,19.999999999999996,11.0,4680.785547517387,0.0
2009-12-03 12:00:00,4301.791526678758,20.0,13.4,4301.791526678758,0.0
2009-12-03 13:00:00,4180.754247781963,20.0,13.0,4180.754247781963,0.0
2009-12-03 14:00:00,4059.5947976392113,20.0,13.0,4059.5947976392113,0.0
2009-12-03 15:00:00,3799.321576389935,20.0,14.6,3799.321576389935,0.0
2009-12-03 16:00:00,3898.6440322562744,20.0,13.0,3898.6440322562744,0.0
2009-12-03 17:00:00,4061.0039819836393,20.0,12.0,4061.0039819836393,0.0
2009-12-03 18:00:00,3920.2348718663034,20.0,12.6,3920.2348718663034,0.0
2009-12-03 19:00:00,4048.1969129199824,20.0,11.0,4048.1969129199824,0.0
2009-12-03 20:00:00,4069.778006435753,19.999999999999993,11.0,4069.778006435753,0.0
2009-12-03 21:00:00,4073.945961205494,20.0,11.2,4073.945961205494,0.0
2009-12-03 22:00:00,4224.5898598328895,20.000000000000004,10.0,4224.5898598328895,0.0
2009-12-03 23:00:00,0.0,18.61291221872756,10.0,0.0,0.0
2009-12-04 00:00:00,0.0,18.266435500343647,10.2,0.0,0.0
2009-12-04 01:00:00,0.0,18.09597999980808,8.0,0.0,0.0
2009-12-04 02:00:00,0.0,17.99772720580114,8.0,0.0,0.0
2009-12-04 03:00:00,0.0,17.92869829351826,8.8,0.0,0.0
2009-12-04 04:00:00,0.0,17.858575335352725,9.0,0.0,0.0
2009-12-04 05:00:00,6459.120414378116,19.999999999999996,9.0,6459.120414378116,0.0
2009-12-04 06:00:00,5285.292972828132,20.0,9.8,5285.292972828132,0.0
2009-12-04 07:00:00,5360.425101107492,20.0,9.0,5360.425101107492,0.0
2009-12-04 08:00:00,5374.9073818372935,19.999999999999996,9.0,5374.9073818372935,0.0
2009-12-04 09:00:00,5370.849599511809,20.0,10.0,5370.849599511809,0.0
2009-12-04 10:00:00,5455.543581927199,20.0,9.0,5455.543581927199,0.0
2009-12-04 11:00:00,5388.2104401779625,19.999999999999996,9.0,5388.2104401779625,0.0
2009-12-04 12:00:00,5135.885398546359,20.0,10.6,5135.885398546359,0.0
2009-12-04 13:00:00,5201.049677131473,20.0,9.0,5201.049677131473,0.0
2009-12-04 14:00:00,4900.201149918171,20.0,11.0,4900.201149918171,0.0
2009-12-04 15:00:00,4917.982992289287,20.0,10.4,4917.982992289287,0.0
2009-12-04 16:00:00,4867.693524182673,20.000000000000007,10.0,4867.693524182673,0.0
2009-12-04 17:00:00,4872.8890599864035,19.999999999999996,10.0,4872.8890599864035,0.0
2009-12-04 18:00:00,4925.282344731049,19.999999999999996,9.6,4925.282344731049,0.0
2009-12-04 19:00:00,4960.625159301279,20.0,9.0,4960.625159301279,0.0
2009-12-04 20:00:00,4992.096357623193,20.0,9.0,4992.096357623193,0.0
2009-12-04 21:00:00,5001.83037858957,20.0,9.2,5001.83037858957,0.0
2009-12-04 22:00:00,5157.783890935122,20.0,8.0,5157.783890935122,0.0
2009-12-04 23:00:00,0.0,18.282202676417068,7.0,0.0,0.0
2009-12-05 00:00:00,0.0,17.883349125845857,8.8,0.0,0.0
2009-12-05 01:00:00,0.0,17.72161408309445,8.0,0.0,0.0
2009-12-05 02:00:00,0.0,17.60537470532206,7.0,0.0,0.0
2009-12-05 03:00:00,0.0,17.534438443633647,8.0,0.0,0.0
2009-12-05 04:00:00,0.0,17.457120649842086,8.0,0.0,0.0
2009-12-05 05:00:00,7697.7303218606285,20.000000000000007,7.0,7697.7303218606285,0.0
2009-12-05 06:00:00,6275.916439048473,20.0,8.0,6275.916439048473,0.0
2009-12-05 07:00:00,6372.933635874816,20.0,7.0,6372.933635874816,0.0
2009-12-05 08:00:00,6388.065615325418,19.999999999999996,7.0,6388.065615325418,0.0
2009-12-05 09:00:00,6316.309860837684,20.0,8.6,6316.309860837684,0.0
2009-12-05 10:00:00,6450.122894382036,20.0,7.0,6450.122894382036,0.0
2009-12-05 11:00:00,6270.29012773296,20.0,8.0,6270.29012773296,0.0
2009-12-05 12:00:00,6010.187706382948,20.0,9.6,6010.187706382948,0.0
2009-12-05 13:00:00,5971.28150025625,20.0,9.0,5971.28150025625,0.0
2009-12-05 14:00:00,5779.926664211916,19.999999999999993,10.0,5779.926664211916,0.0
2009-12-05 15:00:00,5640.236390543941,19.999999999999996,10.8,5640.236390543941,0.0
2009-12-05 16:00:00,5722.673842991345,20.000000000000007,9.0,5722.673842991345,0.0
2009-12-05 17:00:00,5715.035167265073,20.0,9.0,5715.035167265073,0.0
2009-12-05 18:00:00,5611.975527423609,20.0,9.8,5611.975527423609,0.0
2009-12-05 19:00:00,5645.083738946529,20.0,9.0,5645.083738946529,0.0
2009-12-05 20:00:00,5650.260184913617,19.999999999999996,9.0,5650.260184913617,0.0
2009-12-05 21:00:00,5727.084389113878,20.0,8.4,5727.084389113878,0.0
2009-12-05 22:00:00,5777.775822640654,20.0,8.0,5777.775822640654,0.0
2009-12-05 23:00:00,0.0,18.054413490586985,7.0,0.0,0.0
2009-12-06 00:00:00,0.0,17.57674825329822,7.2,0.0,0.0
2009-12-06 01:00:00,0.0,17.40451922281057,7.0,0.0,0.0
2009-12-06 02:00:00,0.0,17.287160196576885,7.0,0.0,0.0
2009-12-06 03:00:00,0.0,17.21966234942786,8.2,0.0,0.0
2009-12-06 04:00:00,0.0,17.120614325321156,7.0,0.0,0.0
2009-12-06 05:00:00,7591.938782525486,20.0,7.0,7591.938782525486,0.0
2009-12-06 06:00:00,5918.010864410296,20.0,8.4,5918.010864410296,0.0
2009-12-06 07:00:00,6785.507743342316,20.0,8.0,6785.507743342316,0.0
2009-12-06 08:00:00,6764.7156176635435,20.0,8.0,6764.7156176635435,0.0
2009-12-06 09:00:00,6519.152476712016,20.0,10.2,6519.152476712016,0.0
2009-12-06 10:00:00,6710.234560836886,20.0,8.0,6710.234560836886,0.0
2009-12-06 11:00:00,6638.604558460033,20.0,8.0,6638.604558460033,0.0
2009-12-06 12:00:00,6262.220232950936,20.000000000000004,10.8,6262.220232950936,0.0
2009-12-06 13:00:00,6377.932126792731,20.0,9.0,6377.932126792731,0.0
2009-12-06 14:00:00,6192.3368402175,20.0,10.0,6192.3368402175,0.0
2009-12-06 15:00:00,5776.155669368978,20.0,13.2,5776.155669368978,0.0
2009-12-06 16:00:00,5821.864700102501,20.0,12.0,5821.864700102501,0.0
2009-12-06 17:00:00,5737.219636667534,19.999999999999996,12.0,5737.219636667534,0.0
2009-12-06 18:00:00,5503.4706087936565,20.000000000000007,13.6,5503.4706087936565,0.0
2009-12-06 19:00:00,5610.056239709917,20.0,12.0,5610.056239709917,0.0
2009-12-06 20:00:00,5558.164635077413,20.0,12.0,5558.164635077413,0.0
2009-12-06 21:00:00,4794.4421565979,19.999999999999993,13.8,4794.4421565979,0.0
2009-12-06 22:00:00,4818.397686015499,20.000000000000004,12.0,4818.397686015499,0.0
2009-12-06 23:00:00,0.0,18.15682818662914,13.0,0.0,0.0
2009-12-07 00:00:00,0.0,17.800010887763587,16.4,0.0,0.0
2009-12-07 01:00:00,0.0,17.68089462202905,15.0,0.0,0.0
2009-12-07 02:00:00,0.0,17.62498416538145,15.0,0.0,0.0
2009-12-07 03:00:00,0.0,17.601670864609314,15.4,0.0,0.0
2009-12-07 04:00:00,0.0,17.530248063526678,13.0,0.0,0.0
2009-12-07 05:00:00,6437.999004855716,19.999999999999996,13.0,6437.999004855716,0.0
2009-12-07 06:00:00,4923.12245716939,20.0,14.6,4923.12245716939,0.0
2009-12-07 07:00:00,5470.67385051029,20.0,13.0,5470.67385051029,0.0
2009-12-07 08:00:00,5520.824929351796,20.0,12.0,5520.824929351796,0.0
2009-12-07 09:00:00,5408.722703612992,20.0,12.8,5408.722703612992,0.0
2009-12-07 10:00:00,5425.029849513532,20.000000000000007,12.0,5425.029849513532,0.0
2009-12-07 11:00:00,5318.633736068723,19.999999999999993,12.0,5318.633736068723,0.0
2009-12-07 12:00:00,4899.140616803254,20.0,14.8,4899.140616803254,0.0
